일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2022-09-01,계룡(636),X,27.9,27.3,21.2,16.5,81,X, ,X,높음
2022-09-01,연천청산(652),X,,,,,,X, ,X,높음
2022-09-01,양양(670),X,26.6,26.3,20.8,16.2,77,X, ,X,높음
2022-09-01,무안(699),X,26.8,24.8,21.9,18.1,89,X, ,X,보통
2022-09-01,무주(701),X,26.6,25,20.7,17.2,88,X, ,X,높음
2022-09-01,익산(702),X,28.3,26.6,21.8,17.8,88,X, ,X,높음
2022-09-01,진안(703),X,25.6,23.9,20.5,16.4,88,X, ,X,보통
2022-09-01,담양(706),X,27.8,26.1,22.3,19.4,90,X, ,X,보통
2022-09-01,구례(709),X,27.3,25.5,21.6,19.3,93,X, ,X,높음
2022-09-01,나주(710),X,27.5,25.8,21.6,17.4,92,X, ,X,보통
2022-09-01,순천시(712),X,27.5,26.8,23,19.7,81,X, ,X,높음
2022-09-01,광양읍(713),X,27.7,27.3,22.5,19.3,83,X, ,X,높음
2022-09-01,장성(730),X,27.8,26.4,21.9,19,89,X, ,X,보통
2022-09-01,영암(731),X,27.9,26.3,21.9,17.8,92,X, ,X,보통
2022-09-01,보성(732),X,27.6,26,21.7,18.6,90,X, ,X,높음
2022-09-01,완주(734),X,30.1,28.8,22.1,18.2,88,X, ,X,높음
2022-09-01,김제(737),X,27,26.7,22.2,18.6,73,X, ,X,높음
2022-09-01,화순(741),X,27.9,26.4,21.9,19.4,87,X, ,X,보통
2022-09-01,함평(754),X,27.4,25.4,21.8,17.8,91,X, ,X,보통
2022-09-01,곡성(768),X,27.6,26.1,21.2,18.2,90,X, ,X,높음
2022-09-01,압해도(789),X,27.1,25.3,22.4,19.6,86,X, ,X,보통
2022-09-01,영양(801),X,26.3,24.5,19.3,16.1,92,X, ,X,보통
2022-09-01,성주(810),X,26.4,25.6,22,19.2,84,X, ,X,보통
2022-09-01,고령(812),X,26.8,25.1,21.5,18.3,91,X, ,X,보통
2022-09-01,청도(813),X,26.8,25.8,21.3,17.8,84,X, ,X,높음
2022-09-01,예천(815),X,26.8,25.6,20.7,18.1,89,X, ,X,보통
2022-09-01,김천(822),X,26.8,25.2,21.2,18.5,92,X, ,X,보통
2022-09-01,군위(823),X,26.8,24.7,21,18.3,94,X, ,X,보통
2022-09-01,칠곡(825),X,27,25.3,21.8,18.9,92,X, ,X,보통
2022-09-01,경산(827),X,27,25.9,21.2,18.3,83,X, ,X,보통
2022-09-01,삼척(876),X,28.5,27.1,21.4,18.6,82,X, ,X,높음
2022-09-01,속초(90),X,27.4,26.1,21,15.6,80.4,X, ,X,높음
2022-09-01,삼천포(907),X,26.3,24.6,21.9,19.7,85,X, ,X,높음
2022-09-01,고성(918),X,26.2,24,21.4,19.4,92,X, ,X,높음
2022-09-01,창녕(919),X,27.6,26.3,22.1,19.2,87,X, ,X,높음
2022-09-01,함안(920),X,27.3,25.3,21.3,18.2,92,X, ,X,높음
2022-09-01,북춘천(93),X,29.3,29.5,21.4,15.7,83.4,X, ,X,높음
2022-09-01,하동(932),X,27.1,26.2,22.5,18.7,83,X, ,X,보통
2022-09-01,철원(95),X,28.3,28.6,20.9,13.8,80.4,X, ,X,높음
2022-09-01,동두천(98),X,29,28.8,21.7,15.8,81.8,X, ,X,높음
2022-09-01,파주(99),X,29.5,29.6,21.7,16.2,85,X, ,X,높음
2022-09-02,북강릉(104),X,26.3,24.8,20.8,16.3,85,X, ,X,높음
2022-09-02,동해(106),X,26.7,24.6,21,17.1,90,X, ,X,보통
2022-09-02,서울(108),X,29.4,29.8,24.7,20.3,61.8,X, ,X,높음
2022-09-02,인천(112),X,28.3,29,25.1,21.4,57.6,X, ,X,높음
2022-09-02,원주(114),X,27.5,28.8,22.7,16.9,61.8,X, ,X,높음
2022-09-02,울릉도(115),X,24.5,22.8,21.3,19.8,84.9,X, ,X,높음
2022-09-02,수원(119),X,28.9,29.7,24.6,20.1,65.5,X, ,X,높음
2022-09-02,영월(121),X,28,28.3,20.5,14.9,74.8,X, ,X,높음
2022-09-02,충주(127),X,27.7,27.6,21.8,16.5,75.8,X, ,X,높음
